Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
4,BRARE,83,0.066346922,6.3661,0,31.2495,39,,
4,BRORU,1,0.000799361,0.0767,0,0.3765,0,,
4,buplefru,3,0.002398082,0.2301,0,1.1295,1,,
4,BUPLEU,1,0.000799361,0.0767,0,0.3765,0,,
4,cistuclu,14,0.011191047,1.0738,0,5.271,1,,
4,crupi,1,0.000799361,0.0767,0,0.3765,0,,
4,DACT,21,0.016786571,1.6107,3,7.9065,7,,
4,DIPCA,5,0.003996803,0.3835,0,1.8825,2,,
4,ely,3,0.002398082,0.2301,0,1.1295,1,,
4,GENISCO,25,0.019984013,1.9175,0,9.4125,3,,
4,globu,4,0.003197442,0.3068,0,1.506,0,,
4,HELIHIRT,50,0.039968026,3.835,1,18.825,22,,
4,HELIPI,27,0.021582734,2.0709,1,10.1655,9,,
4,HELISA,5,0.003996803,0.3835,0,1.8825,1,,
4,HELYCRI,4,0.003197442,0.3068,0,1.506,0,,
4,hordeum,4,0.003197442,0.3068,1,1.506,0,,
4,HYP,2,0.001598721,0.1534,0,0.753,0,,
4,koelerval,15,0.011990408,1.1505,0,5.6475,2,,
4,LINU,12,0.009592326,0.9204,0,4.518,7,,
4,lygi,471,0.376498801,36.1257,29,NA,NA,,
4,malcomia,10,0.007993605,0.767,0,3.765,1,,
4,MEDILIT,4,0.003197442,0.3068,0,1.506,1,,
4,NEATOS,1,0.000799361,0.0767,0,0.3765,1,,
4,onopus,19,0.01518785,1.4573,0,7.1535,3,,
4,peganum,2,0.001598721,0.1534,0,0.753,1,,
4,PLAFRA,2,0.001598721,0.1534,0,0.753,1,,
4,PLAL,56,0.044764189,4.2952,0,21.084,22,,
4,poabul,1,0.000799361,0.0767,0,0.3765,0,,
4,POLYGALA,1,0.000799361,0.0767,0,0.3765,0,,
4,rali,2,0.001598721,0.1534,0,0.753,0,,
4,RETAMA,2,0.001598721,0.1534,0,0.753,0,,
4,ROME,224,0.179056755,17.1808,2,84.336,54,,
4,SEDU,4,0.003197442,0.3068,0,1.506,1,,
4,sonchus,6,0.004796163,0.4602,0,2.259,6,,
4,SPERGULA,1,0.000799361,0.0767,0,0.3765,0,,
4,STIPALAG,156,0.12470024,11.9652,16,58.734,30,,
4,STIPAR,16,0.012789768,1.2272,1,6.024,1,,
4,taraxa,8,0.006394884,0.6136,0,3.012,3,,
4,TEUCAP,6,0.004796163,0.4602,0,2.259,2,,
4,THYMUVU,36,0.028776978,2.7612,0,13.554,5,,
5,ANAGA,1,0.0008,0.0848,0,0.3704,1,0.0024,0
5,ARTIBA,106,0.0848,NA,NA,39.2624,48,0.2544,0
5,ASTER,14,0.0112,1.1872,2,5.1856,11,0.0336,0
5,atrip,6,0.0048,0.5088,0,2.2224,0,0.0144,0
5,avebro,13,0.0104,1.1024,2,4.8152,5,0.0312,0
5,BRADI,9,0.0072,0.7632,0,3.3336,2,0.0216,0
5,BRARE,154,0.1232,13.0592,4,57.0416,32,0.3696,2
5,BRORU,14,0.0112,1.1872,0,5.1856,8,0.0336,0
5,buplefru,17,0.0136,1.4416,0,6.2968,2,0.0408,0
5,BUPLEU,2,0.0016,0.1696,0,0.7408,0,0.0048,0
5,cistuclu,2,0.0016,0.1696,0,0.7408,0,0.0048,0
5,DACT,28,0.0224,2.3744,5,10.3712,9,0.0672,0
5,DIPCA,1,0.0008,0.0848,0,0.3704,0,0.0024,0
5,echina,3,0.0024,0.2544,0,1.1112,2,0.0072,0
5,efedra,11,0.0088,0.9328,0,4.0744,2,0.0264,0
5,ELY,2,0.0016,0.1696,0,0.7408,0,0.0048,0
5,FILAGO,3,0.0024,0.2544,0,1.1112,0,0.0072,0
5,GALIVE,3,0.0024,0.2544,0,1.1112,1,0.0072,0
5,GENISCO,15,0.012,1.272,0,5.556,4,0.036,0
5,globu,13,0.0104,1.1024,1,4.8152,2,0.0312,0
5,HELIHIRT,4,0.0032,0.3392,0,1.4816,1,0.0096,0
5,HELIPI,14,0.0112,1.1872,0,5.1856,4,0.0336,0
5,HELISA,1,0.0008,0.0848,0,0.3704,0,0.0024,0
5,HORDEUM,9,0.0072,0.7632,0,3.3336,2,0.0216,0
